SID,entry,evaluation,replacement
51,cat,FOUND,cat
51,dog,FOUND,dog
51,mouse,FOUND,mouse
51,rat,FOUND,rat
51,giraffe,FOUND,giraffe
51,lion,FOUND,lion
51,zebra,FOUND,zebra
51,rhino,FOUND,rhino
51,ostrich,FOUND,ostrich
51,meerkat,FOUND,meerkat
51,tiger,FOUND,tiger
51,bear,FOUND,bear
51,bat,FOUND,bat
51,aardvark,FOUND,aardvark
51,elephant,FOUND,elephant
51,flea,FOUND,flea
51,ferret,FOUND,ferret
51,parrot,FOUND,parrot
51,hippopotamus,FOUND,hippopotamus
51,alligator,FOUND,alligator
51,crocodile,FOUND,crocodile
51,frog,FOUND,frog
51,whale,FOUND,whale
51,shark,FOUND,shark
51,clownfish,FOUND,clownfish
51,guppy,FOUND,guppy
51,goldfish,FOUND,goldfish
51,snake,FOUND,snake
51,snail,FOUND,snail
51,deer,FOUND,deer
51,elk,FOUND,elk
51,buffalo,FOUND,buffalo
51,monkey,FOUND,monkey
51,hyena,FOUND,hyena
51,kangaroo,FOUND,kangaroo
71,cheetah,FOUND,cheetah
71,panther,FOUND,panther
71,snake,FOUND,snake
71,shark,FOUND,shark
71,elephant,FOUND,elephant
71,gazelle,FOUND,gazelle
71,deer,FOUND,deer
71,monkey,FOUND,monkey
71,orangutan,FOUND,orangutan
71,mouse,FOUND,mouse
71,hamster,FOUND,hamster
71,sheep,FOUND,sheep
71,horse,FOUND,horse
71,rabbit,FOUND,rabbit
71,squirrel,FOUND,squirrel
71,muskrat,FOUND,muskrat
71,loon,FOUND,loon
71,eagle,FOUND,eagle
71,hawk,FOUND,hawk
71,raven,FOUND,raven
71,bluebird,FOUND,bluebird
71,raptor,FOUND,raptor
71,fox,FOUND,fox
71,cow,FOUND,cow
71,fisher,FOUND,fisher
71,wolverine,FOUND,wolverine
71,badger,FOUND,badger
71,tiger,FOUND,tiger
71,bronco,FOUND,bronco
71,hare,FOUND,hare
71,turtle,FOUND,turtle
71,crab,FOUND,crab
71,fish,FOUND,fish
71,bluegill,FOUND,bluegill
71,manta_ray,REPLACE,manta ray
71,caribou,FOUND,caribou
71,polar_bear,REPLACE,polar bear
198,dog,FOUND,dog
198,cat,FOUND,cat
198,mouse,FOUND,mouse
198,tiger,FOUND,tiger
198,lion,FOUND,lion
198,bear,FOUND,bear
198,cheetah,FOUND,cheetah
198,skunk,FOUND,skunk
198,raccoon,FOUND,raccoon
198,hamster,FOUND,hamster
198,elephant,FOUND,elephant
198,hippopotamus,FOUND,hippopotamus
198,alligator,FOUND,alligator
198,crocodile,FOUND,crocodile
198,boa_constrictor,REPLACE,boa constrictor
198,viper,FOUND,viper
198,rattlesnake,FOUND,rattlesnake
198,opossum,FOUND,opossum
198,fox,FOUND,fox
198,deer,FOUND,deer
198,bobcat,FOUND,bobcat
198,bird,FOUND,bird
198,beaver,FOUND,beaver
198,groundhog,FOUND,groundhog
198,hyena,FOUND,hyena
199,dog,FOUND,dog
199,cat,FOUND,cat
199,bear,FOUND,bear
199,monkey,FOUND,monkey
199,pig,FOUND,pig
199,cow,FOUND,cow
199,horse,FOUND,horse
199,turkey,FOUND,turkey
199,giraffe,FOUND,giraffe
199,elephant,FOUND,elephant
199,hippopotamus,FOUND,hippopotamus
199,tiger,FOUND,tiger
199,lion,FOUND,lion
199,penguin,FOUND,penguin
199,mouse,FOUND,mouse
199,rat,FOUND,rat
199,hamster,FOUND,hamster
199,fish,FOUND,fish
199,chicken,FOUND,chicken
199,rabbit,FOUND,rabbit
199,goose,FOUND,goose
199,turtle,FOUND,turtle
199,bird,FOUND,bird
199,frog,FOUND,frog
199,wolf,FOUND,wolf
199,raccoon,FOUND,raccoon
199,possum,FOUND,possum
199,squirrel,FOUND,squirrel
199,chipmunk,FOUND,chipmunk
199,ferret,FOUND,ferret
199,duck,FOUND,duck
199,swan,FOUND,swan
199,shark,FOUND,shark
199,dolphin,FOUND,dolphin
199,whale,FOUND,whale
199,mountain_lion,REPLACE,mountain lion
199,gerbil,FOUND,gerbil
199,gorilla,FOUND,gorilla
199,chimpanzee,FOUND,chimpanzee
199,snake,FOUND,snake
285,deer,FOUND,deer
285,squirrel,FOUND,squirrel
285,rabbit,FOUND,rabbit
285,elk,FOUND,elk
285,moose,FOUND,moose
285,mule_deer,REPLACE,mule deer
285,white_tailed_deer,REPLACE,white tailed deer
285,blacktail_deer,REPLACE,blacktail deer
285,grizzly,FOUND,grizzly
285,bear,FOUND,bear
285,bear,FOUND,bear
285,bear,FOUND,bear
285,mountain_goat,REPLACE,mountain goat
285,billy_goat,REPLACE,billy goat
285,wolf,FOUND,wolf
285,fox,FOUND,fox
285,coyote,FOUND,coyote
285,dog,FOUND,dog
285,cat,FOUND,cat
285,rat,FOUND,rat
285,mouse,FOUND,mouse
285,bird,FOUND,bird
285,cardinal,FOUND,cardinal
285,blue_jay,REPLACE,blue jay
285,robin,FOUND,robin
285,blackbird,FOUND,blackbird
285,crow,FOUND,crow
285,turkey,FOUND,turkey
285,vulture,FOUND,vulture
285,eagle,FOUND,eagle
285,hawk,FOUND,hawk
285,mountain_lion,REPLACE,mountain lion
285,elephant,FOUND,elephant
285,giraffe,FOUND,giraffe
285,lion,FOUND,lion
285,tiger,FOUND,tiger
285,zebra,FOUND,zebra
285,antelope,FOUND,antelope
286,dog,FOUND,dog
286,cat,FOUND,cat
286,horse,FOUND,horse
286,cow,FOUND,cow
286,pig,FOUND,pig
286,dolphin,FOUND,dolphin
286,mouse,FOUND,mouse
286,gerbil,FOUND,gerbil
286,chicken,FOUND,chicken
286,goose,FOUND,goose
286,potbellied_pig,REPLACE,potbellied pig
286,hamster,FOUND,hamster
286,ferret,FOUND,ferret
286,raccoon,FOUND,raccoon
286,skunk,FOUND,skunk
286,squirrel,FOUND,squirrel
286,polar_bear,REPLACE,polar bear
286,grizzly,FOUND,grizzly
286,penguin,FOUND,penguin
286,seal,FOUND,seal
286,monkey,FOUND,monkey
286,giraffe,FOUND,giraffe
286,buffalo,FOUND,buffalo
286,bison,FOUND,bison
286,lion,FOUND,lion
286,tiger,FOUND,tiger
286,cheetah,FOUND,cheetah
286,gazelle,FOUND,gazelle
286,antelope,FOUND,antelope
286,koala,FOUND,koala
286,sloth,FOUND,sloth
287,dog,FOUND,dog
287,cat,FOUND,cat
287,bird,FOUND,bird
287,squirrel,FOUND,squirrel
287,chipmunk,FOUND,chipmunk
287,elephant,FOUND,elephant
287,lion,FOUND,lion
287,tiger,FOUND,tiger
287,bear,FOUND,bear
287,mouse,FOUND,mouse
287,rat,FOUND,rat
287,sheep,FOUND,sheep
287,lamb,FOUND,lamb
287,pig,FOUND,pig
287,donkey,FOUND,donkey
287,goose,FOUND,goose
287,rooster,FOUND,rooster
287,monkey,FOUND,monkey
287,gorilla,FOUND,gorilla
287,giraffe,FOUND,giraffe
287,penguin,FOUND,penguin
287,dolphin,FOUND,dolphin
287,whale,FOUND,whale
287,fish,FOUND,fish
287,crab,FOUND,crab
287,turtle,FOUND,turtle
287,seahorse,FOUND,seahorse
287,fox,FOUND,fox
287,rabbit,FOUND,rabbit
287,bunny,FOUND,bunny
287,gerbil,FOUND,gerbil
287,guinea_pig,REPLACE,guinea pig
287,hamster,FOUND,hamster
287,kangaroo,FOUND,kangaroo
287,koala,FOUND,koala
287,crocodile,FOUND,crocodile
287,alligator,FOUND,alligator
287,ant,FOUND,ant
287,bee,FOUND,bee
287,wasp,FOUND,wasp
287,praying_mantis,REPLACE,praying mantis
287,beetle,FOUND,beetle
287,cockroach,FOUND,cockroach
287,fly,FOUND,fly
287,stingray,FOUND,stingray
287,jellyfish,FOUND,jellyfish
287,tortoise,FOUND,tortoise
288,cheetah,FOUND,cheetah
288,lion,FOUND,lion
288,deer,FOUND,deer
